Taxonomic group;Genus;COS_ARMS_1;COS_ARMS_2;COS_BBOX_1;COS_BBOX_2;RIB_ARMS_2;RIB_BBOX_1;RIB_BBOX_2
Aphelidea;Paraphelidium;0;0;0;1;0;0;0
Ascomycota;Aigialus;0;0;0;0;0;0;0
Ascomycota;Amia;0;3;5;3;2;16;5
Ascomycota;Chaetomium;0;0;0;0;0;1;0
Ascomycota;Lulwoana;0;0;0;0;0;0;0
Ascomycota;Spathulospora;0;0;0;0;0;0;0
Rhodophyta;Minerva;0;0;0;0;0;0;0
Cercozoa;Lotharella;0;0;0;0;0;1;0
Cercozoa;Massisteria;0;0;0;0;0;0;0
Cercozoa;Paradinium;0;0;0;1;0;0;0
Cercozoa;Protaspis;0;0;0;0;0;0;0
Chlorophyta;Tetraselmis;0;0;0;0;0;0;0
Chytridiomycota;Chytridium;0;0;0;1;0;0;0
Ciliophora;Hyalophysa;0;1;0;1;0;0;0
Ciliophora;Paracineta;0;0;0;0;0;1;0
Ochrophyta;Amphora;0;0;0;0;0;0;0
Ochrophyta;Berkeleya;0;0;0;0;0;0;0
Ochrophyta;Cylindrotheca;0;0;0;0;0;0;0
Ochrophyta;Epithemia;1;1;0;0;0;1;0
Ochrophyta;Fragilariopsis;0;0;0;0;0;0;0
Ochrophyta;Grammatophora;0;0;0;0;0;0;0
Ochrophyta;Hyalosynedra;0;0;0;1;0;0;0
Ochrophyta;Navicula;0;0;0;0;0;2;1
Ochrophyta;Phaeodactylum;0;0;0;0;0;0;0
Ochrophyta;Pleurosigma;1;0;0;0;1;0;0
Ochrophyta;Stauroneis;0;0;0;0;0;0;0
Dinphyceae;Alexandrium;0;0;0;0;0;0;0
Dinphyceae;Karlodinium;1;0;0;0;0;0;0
Dinphyceae;Podolampas;0;0;0;0;0;0;0
Dinphyceae;Prorocentrum;0;0;0;0;0;0;0
Dinphyceae;Sinophysis;0;0;0;0;0;0;0
Discoba;Jakobida_Jakobida_undef_uncultured;6;1;2;2;1;3;1
Discoba;Rhynchopus;0;0;0;0;0;0;0
Opisthokonta;Diaphanoeca;1;0;0;0;0;0;0
Rhodophyta;Amansia;0;0;0;2;1;1;8
Rhodophyta;Amphiroa;0;0;0;1;0;1;0
Rhodophyta;Asparagopsis;0;1;0;0;0;0;0
Rhodophyta;Audouinella;7;0;0;5;2;1;1
Rhodophyta;Caloglossa;0;0;0;0;1;0;0
Rhodophyta;Ceramium;2;0;0;1;0;2;2
Rhodophyta;Champia;0;0;0;0;0;0;1
Rhodophyta;Crouania;0;0;0;1;0;0;0
Rhodophyta;Griffithsia;0;0;0;2;1;0;0
Rhodophyta;Harveyella;0;0;0;0;0;1;0
Rhodophyta;Heterosiphonia;0;0;0;2;0;0;0
Rhodophyta;Hydrolithon;11;19;16;65;11;42;8
Rhodophyta;Lithophyllum;2;5;2;10;2;2;2
Rhodophyta;Lithothamnion;9;2;0;19;0;2;3
Rhodophyta;Mesophyllum;191;5;1;16;1;1;2
Rhodophyta;Neogoniolithon;0;2;0;6;4;1;0
Rhodophyta;Pachymenia;0;1;0;0;0;0;0
Rhodophyta;Peyssonnelia;2;2;1;2;0;0;0
Rhodophyta;Phymatolithon;15;1;0;11;0;6;2
Rhodophyta;Seirospora;0;0;0;4;4;0;0
Rhodophyta;Spongites;3;4;4;6;2;4;0
Rhodophyta;Spyridia;1;0;0;0;1;0;1
Haptophyta;Isochrysidales_undef;0;0;1;0;0;0;0
Stramenopiles;Pirsonia;0;0;0;0;0;0;0
Bigyra;Aplanochytrium;0;0;1;0;0;0;0
Bigyra;Oblongichytrium;0;0;0;0;0;0;0
Ochrophyta;Andersenia;0;1;1;1;29;5;5
Ochrophyta;Aureoumbra;0;0;2;0;0;1;0
Ochrophyta;Choristocarpus;0;0;0;3;1;0;1
Ochrophyta;Dictyopteris;0;0;0;3;1;0;0
Ochrophyta;Discosporangium;340;4;3;72;5;77;1
Ochrophyta;Ectocarpales_Ectocarpales_undef_Tribonema;0;0;0;0;0;0;0
Ochrophyta;Halothrix;3;0;2;2;3;1;0
Ochrophyta;Heribaudiella;0;0;0;0;0;0;0
Ochrophyta;Lobophora;0;0;0;0;0;0;0
Ochrophyta;Padina;0;1;1;1;0;12;0
Ochrophyta;Pinguiococcus;0;0;0;0;0;0;0
Ochrophyta;Polypodochrysis;0;0;0;0;0;0;1
Ochrophyta;Pylaiella;1;0;1;4;0;1;0
Ochrophyta;Rugulopteryx;0;0;1;5;0;2;0
Ochrophyta;Sarcinochrysis;0;0;0;0;1;0;0
Ochrophyta;Sargassum;0;0;0;0;0;0;0
Ochrophyta;Scytosiphon;1;0;1;1;0;0;0
