Phylum;Species;COS_ARMS_1;COS_ARMS_2;COS_BBOX_1;COS_BBOX_2;COS_NAT_1;COS_NAT_2;RIB_ARMS_1;RIB_ARMS_2;RIB_BBOX_1;RIB_BBOX_2;RIB_NAT_1;RIB_NAT_2
Bacillariophyta;Cylindrotheca closterium;3;0;3;1;0;1;19;0;0;2;0;3
Bacillariophyta;Hemiaulus sinensis;0;0;0;0;0;0;0;1;0;0;0;0
Ochrophyta;Asperococcus bullosus;1;2;1;0;0;1;0;0;2;0;0;2
Ochrophyta;Cutleria multifida;0;7;2;2;0;0;0;0;0;0;0;0
Ochrophyta;Cystoseira compressa;0;0;0;0;0;0;0;0;0;0;0;1
Ochrophyta;Dictyota dichotoma;0;0;5;0;0;0;0;4;0;1;0;1
Ochrophyta;Dictyota fasciola;0;0;0;0;0;0;2;1;0;0;0;0
Ochrophyta;Dictyota implexa;82;281;66;74;9;42;73;68;20;28;3;5
Ochrophyta;Dictyota mediterranea;1;2;0;0;2;5;39;53;8;12;3;4
Ochrophyta;Halopteris filicina;0;1;3;4;0;0;0;0;0;2;0;0
Ochrophyta;Heterocapsa rotundata;0;0;0;0;0;0;0;0;0;2;0;0
Ochrophyta;Karlodinium veneficum;0;0;0;0;0;0;0;1;0;0;0;0
Ochrophyta;Mesogloia vermiculata;1;3;1;0;1;0;0;0;0;0;0;0
Ochrophyta;Protodinium simplex;1;5;0;1;0;0;2;0;3;4;0;1
Ochrophyta;Sphacelaria cirrosa;0;0;5;0;1;0;7;0;1;4;0;1
Ochrophyta;Stilophora tenella;28;30;43;28;7;16;10;1;7;4;1;8
Ochrophyta;Taonia atomaria;0;0;1;2;0;0;2;14;8;24;0;0
Ochrophyta;Thoracosphaera heimii;1;0;0;0;0;0;0;0;0;0;0;1
Rhodophyta;Aglaothamnion tenuissimum;1;0;0;2;2;5;0;0;0;0;0;0
Rhodophyta;Asparagopsis taxiformis;0;0;0;0;0;0;1;0;1;2;0;1
Rhodophyta;Callithamnion corymbosum;0;0;0;0;0;0;1;1;0;0;0;0
Rhodophyta;Champia parvula;1;0;0;0;0;0;0;0;0;0;0;0
Rhodophyta;Chylocladia verticillata;0;0;0;0;0;0;0;0;0;0;0;1
Rhodophyta;Dasya baillouviana;1;0;0;0;0;0;0;1;0;2;1;0
Rhodophyta;Dasya corymbifera;2;0;1;2;1;0;0;0;0;2;1;0
Rhodophyta;Dudresnaya verticillata;8;2;0;1;5;157;1015;15;21;23;552;162
Rhodophyta;Heterosiphonia crispella;0;1;1;0;0;0;0;0;0;0;0;0
